site_id,site_name,country,region,category,subcategory,latitude,longitude,production_volume,production_unit,workforce_size,avg_wage_usd_monthly,environmental_impact_score,human_rights_violations,key_companies,source_authors,data_year
38,Fenix Project (Salar del Hombre Muerto),Argentina,South America,mineral_extraction,lithium,-25.5,-67.0833,22500,MT_LCE_annual,110,850,8,water_depletion_indigenous_rights_violations,"Arcadium Lithium (Livent/Allkem), POSCO","BHRRC, Salares.org, Wikipedia, POSCO",2024
39,San Rafael Mine,Peru,South America,mineral_extraction,tin,-14.2347,-70.3213,26995,MT_annual,1581,60,6,legacy_environmental_contamination,"Minsur (Breca Group)","Min. of Energy & Mines Peru, Minsur, Connectas, ERI",2023
40,Mount Weld Mine,Australia,Oceania,mineral_extraction,rare_earth,-28.86,122.5478,15970,MT_REO_annual,200,6600,4,none_reported,Lynas Rare Earths,"Lynas, Mining-Technology, Wikipedia",2023
41,Mountain Pass Mine,United States,North America,mineral_extraction,rare_earth,35.4786,-115.5322,42400,MT_REO_annual,681,4650,3,none_reported,MP Materials,"MP Materials, Wikipedia, CorpWatch",2024
42,Ambatovy Mine,Madagascar,Africa,mineral_extraction,nickel,-18.83,48.2,40000,MT_annual,10000,400,8,forest_displacement_livelihood_loss,"Sherritt International, Korea Resources","Amnesty International, Reuters",2022
43,Weda Bay Industrial Park,Indonesia,Asia,mineral_extraction,nickel,-0.43,128.25,45000,hectares_concession,20000,500,9,land_grabbing_health_impacts,"Tsingshan Holding, Eramet","Climate Rights International, HRW",2024
44,Man Maw Mine,Myanmar,Asia,mineral_extraction,tin,23.08,99.03,33000,MT_annual,500,400,9,armed_conflict_financing_child_labor,UWSA leaders companies,"Global Witness, Reuters",2024
45,Kachin State Rare Earth,Myanmar,Asia,mineral_extraction,rare_earth,25.08,98.08,30000,MT_annual,12500,400,10,militia_control_toxic_exposure_death,Chinese-backed militia companies,"Global Witness",2024
46,Ok Tedi Mine,Papua New Guinea,Oceania,mineral_extraction,copper,-5.03,141.03,200000,MT_annual,3600,1000,10,indigenous_displacement_river_contamination,Ok Tedi Mining Limited,"Human Rights Watch, PNG Government",2024
47,Boké Region Bauxite,Guinea,Africa,mineral_extraction,bauxite,10.15,-14.05,87000000,MT_annual,50000,90,8,farmland_expropriation_dust_pollution,"SMB, CBG Alcoa Rio Tinto","Human Rights Watch",2024
48,Greenbushes Lithium Mine,Australia,Oceania,mineral_extraction,lithium,-33.13,116.02,1950000,MT_annual,1200,5250,7,community_health_dust_pollution,"Talison Lithium, Tianqi, Albemarle","WA Government, Discovery Alert",2024
49,Santiago Data Center Hub,Chile,South America,data_centers,regional,-33.45,-70.67,338,MW_capacity,2750,2200,7,water_usage_concerns,"Google, Microsoft, AWS, Equinix","Rest of World, Business & Human Rights",2024
